"code";"text";"pt3";"pos"
"9009";"DIM 445/45-19,5";"DIM 445/45-19,5";""
"9010";"BILDELAR DIVERSE";"Other car parts";""
"9011";"DIM 235/70R-17,5";"DIM 235/70R-17,5";""
"9012";"DIM 255/70R-22,5";"DIM 255/70R-22,5";""
"9013";"DIM 265/70R-19,5";"DIM 265/70R-19,5";""
"9014";"DIM 275/70R-19,5";"DIM 275/70R-19,5";""
"9016";"DIM 275/70R-22,5";"DIM 275/70R-22,5";""
"9017";"DIM 275/80R-22,5";"DIM 275/80R-22,5";""
"9018";"DIM 295/60R-22,5";"DIM 295/60R-22,5";""
"9019";"DIM 295/80R-22,5";"DIM 295/80R-22,5";""
"9020";"DIM 305/60R-22,5";"DIM 305/60R-22,5";""
"9021";"DIM 305/70R-22,5";"DIM 305/70R-22,5";""
"9022";"DIM 315/60R-22,5";"DIM 315/60R-22,5";""
"9023";"DIM 315/70R-22,5";"DIM 315/70R-22,5";""
"9024";"DIM 315/80R-22,5";"DIM 315/80R-22,5";""
"9027";"DIM 385/55R-22,5";"DIM 385/55R-22,5";""
"9028";"DIM 385/65R-22,5";"DIM 385/65R-22,5";""
"9029";"DIM 285/70R-19,5";"DIM 285/70R-19,5";""
"9033";"DIM 245/70R-19,5";"DIM 245/70R-19,5";""
"9034";"DIM 205/40-18";"DIM 205/40-18";""
"9035";"DIM 225/30-20";"DIM 225/30-20";""
"9036";"DIM 215/60-18";"DIM 215/60-18";""
"9037";"DIM 215/65-17";"DIM 215/65-17";""
"9038";"DIM 245/50-16";"DIM 245/50-16";""
"9039";"DIM 275/60-20";"DIM 275/60-20";""
"9040";"DIM 275/65-17";"DIM 275/65-17";""
"9041";"DIM 285/30-18";"DIM 285/30-18";""
"9042";"DIM 285/30-19";"DIM 285/30-19";""
"9043";"DIM 285/30-20";"DIM 285/30-20";""
"9044";"DIM 285/30-21";"DIM 285/30-21";""
"9045";"DIM 285/35-18";"DIM 285/35-18";""
"9046";"DIM 285/35-20";"DIM 285/35-20";""
"9047";"DIM 285/35-21";"DIM 285/35-21";""
"9048";"DIM 285/40-19";"DIM 285/40-19";""
"9049";"DIM 285/40-22";"DIM 285/40-22";""
"9050";"DIM 285/45-19";"DIM 285/45-19";""
"9051";"DIM 285/45-20";"DIM 285/45-20";""
"9052";"DIM 285/45-21";"DIM 285/45-21";""
"9053";"DIM 285/50-18";"DIM 285/50-18";""
"9054";"DIM 285/50-20";"DIM 285/50-20";""
"9055";"DIM 285/60-18";"DIM 285/60-18";""
"9056";"DIM 285/65-16";"DIM 285/65-16";""
"9057";"DIM 285/65-17";"DIM 285/65-17";""
"9058";"DIM 295/25-20";"DIM 295/25-20";""
"9059";"DIM 295/25-21";"DIM 295/25-21";""
"9060";"DIM 295/30-18";"DIM 295/30-18";""
"9061";"DIM 295/30-19";"DIM 295/30-19";""
"9062";"DIM 295/30-20";"DIM 295/30-20";""
"9063";"DIM 295/30-21";"DIM 295/30-21";""
"9064";"DIM 295/30-22";"DIM 295/30-22";""
"9065";"DIM 295/35-19";"DIM 295/35-19";""
"9066";"DIM 295/35-20";"DIM 295/35-20";""
"9067";"DIM 295/35-21";"DIM 295/35-21";""
"9068";"DIM 295/35-22";"DIM 295/35-22";""
"9069";"DIM 295/40-19";"DIM 295/40-19";""
"9070";"DIM 295/40-20";"DIM 295/40-20";""
"9071";"DIM 295/40-21";"DIM 295/40-21";""
"9072";"DIM 295/40-22";"DIM 295/40-22";""
"9073";"DIM 295/45-19";"DIM 295/45-19";""
"9074";"DIM 295/45-20";"DIM 295/45-20";""
"9075";"DIM 305/25-20";"DIM 305/25-20";""
"9076";"DIM 305/25-22";"DIM 305/25-22";""
"9077";"DIM 305/30-19";"DIM 305/30-19";""
"9078";"DIM 305/30-20";"DIM 305/30-20";""
"9079";"DIM 305/30-23";"DIM 305/30-23";""
"9080";"DIM 305/40-22";"DIM 305/40-22";""
"9081";"DIM 315/25-19";"DIM 315/25-19";""
"9082";"DIM 315/25-23";"DIM 315/25-23";""
"9083";"DIM 315/30-21";"DIM 315/30-21";""
"9084";"DIM 315/30-22";"DIM 315/30-22";""
"9085";"DIM 315/35-20";"DIM 315/35-20";""
"9086";"DIM 315/40-21";"DIM 315/40-21";""
"9087";"DIM 325/25-20";"DIM 325/25-20";""
"9088";"DIM 325/25-21";"DIM 325/25-21";""
"9089";"DIM 325/35-22";"DIM 325/35-22";""
"9090";"DIM 325/40-21";"DIM 325/40-21";""
"9091";"DIM 335/25-22";"DIM 335/25-22";""
"9092";"DIM 185/60-16";"DIM 185/60-16";""
"9093";"DIM 205/75-14";"DIM 205/75-14";""
"9094";"DIM 295/35-18";"DIM 295/35-18";""
"9095";"DIM 155/70-12";"DIM 155/70-12";""
"9096";"DIM 285/30-22";"DIM 285/30-22";""
"9097";"DIM 215/65-15C";"DIM 215/65-15C";""
"9098";"DIM 265/55-19";"DIM 265/55-19";""
"9099";"ÖVRIGA BILDELAR";"Other car parts";""
"9100";"DIM 145-10";"DIM 145-10";""
"9101";"DIM 195/55-15";"DIM 195/55-15";""
"9102";"DIM 225/70-15";"DIM 225/70-15";""
"9103";"DIM 205/50-16";"DIM 205/50-16";""
"9104";"DIM 225/70-16";"DIM 225/70-16";""
"9105";"DIM 145-12";"DIM 145-12";""
"9106";"DIM 155-12";"DIM 155-12";""
"9107";"DIM 215/45-17";"DIM 215/45-17";""
"9108";"DIM 145/70-13";"DIM 145/70-13";""
"9109";"DIM 195/55-13";"DIM 195/55-13";""
"9110";"DIM 135-13";"DIM 135-13";""
"9111";"DIM 145-13";"DIM 145-13";""
"9112";"DIM 155-13";"DIM 155-13";""
"9113";"DIM 165-13";"DIM 165-13";""
"9114";"DIM 175-13";"DIM 175-13";""
"9115";"DIM 185-13";"DIM 185-13";""
"9116";"DIM 175-13 RF";"DIM 175-13 RF";""
"9117";"DIM 165/65-13";"DIM 165/65-13";""
"9118";"DIM 195/70-13";"DIM 195/70-13";""
"9119";"DIM 185/65-13";"DIM 185/65-13";""
"9120";"DIM 155/70-13";"DIM 155/70-13";""
"9121";"DIM 165/70-13";"DIM 165/70R13";""
"9122";"DIM 175/70-13";"DIM 175/70-13";""
"9123";"DIM 185/70-13";"DIM 185/70-13";""
"9124";"DIM 205/60-13";"DIM 205/60-13";""
"9125";"DIM 185/60-13";"DIM 185/60-13";""
"9126";"DIM 175/65-13";"DIM 175/65-13";""
"9127";"DIM 235/70-16";"DIM 235/70-16";""
"9128";"DIM 215/35-19";"DIM 215/35-19";""
"9129";"DIM 185-14 RF";"DIM 185-14 RF";""
"9130";"DIM 145-14";"DIM 145-14";""
"9131";"DIM 155-14";"DIM 155-14";""
"9132";"DIM 165-14";"DIM 165-14";""
"9133";"DIM 175-14";"DIM 175-14";""
"9134";"DIM 185-14";"DIM 185-14";""
"9135";"DIM 205-14";"DIM 205-14";""
"9136";"DIM 195-14";"DIM 195-14";""
"9137";"DIM 255/55-16";"DIM 255/55-16";""
"9138";"DIM 195/65-14";"DIM 195/65-14";""
"9139";"DIM 165/70-14";"DIM 165/70-14";""
"9140";"DIM 175/70-14";"DIM 175/70-14";""
"9141";"DIM 185/70-14";"DIM 185/70-14";""
"9142";"DIM 195/70-14";"DIM 195/70-14";""
"9143";"DIM 205/70-14";"DIM 205/70-14";""
"9144";"DIM 195/70-15 C";"DIM 195/70-15 C";""
