"code";"SV";"DE";"pos"
"3054";"LASTLUCKA SIDA VÄ HÖ";"Seitliche Ladetür";"Links Recht"
"3055";"FLAKLÄM";"Flakläm";""
"3056";"GLIDSKENA SKJUTDÖRR HÖ";"Glidskena Skjutdörr";"Recht"
"3057";"GLIDSKENA SKJUTDÖRR VÄ";"Glidskena Skjutdörr";"Links"
"3058";"SIDOKJOL HÖ";"Sidokjol";"Recht"
"3059";"SIDOKJOL VÄ";"Sidokjol";"Links"
"3060";"HARDTOPP TILL CABRIOLET";"Hardtop";""
"3061";"CAB. STÄLLNING/SUFLETT";"Kabriolett gestell/Kabrio";""
"3062";"KJOLPAKET";"Kjolpaket";""
"3063";"CAB. MOTOR";"Cab/Sufflett motor";""
"3064";"VENTILATIONSRUTA ÖPPNINGSMEKANISM";"Ventilationsruta Öppningsmekanism";""
"3065";"DÖRRUTA FRAM LILLA VÄ";"Kleine Türfenster";"Vorn Links"
"3066";"DÖRRUTA FRAM LILLA HÖ";"Kleine Türfenster";"Vorn Recht"
"3067";"DÖRRUTA BAK LILLA VÄ";"Kleine Türfenster";"Hinten Links"
"3068";"DÖRRUTA BAK LILLA HÖ";"Kleine Türfenster";"Hinten Recht"
"3069";"DÖRRUTA BAK VAN/SKÅP VÄ";"Bakdörruta Van/Skåp";"Links"
"3070";"DÖRRUTA BAK VAN/SKÅP HÖ";"Bakdörruta Van/Skåp";"Recht"
"3071";"DÖRR SIDO-SKJUTDÖRR VÄ";"Seiten- Schiebetür Van/Kasten";"Links"
"3072";"DÖRR SIDO-SKJUTDÖRR HÖ";"Seiten- Schiebetür Van/Kasten";"Recht"
"3073";"SPEGEL YTTRE KÅPA/RAM/HUS VÄ";"Backspegel Kåpa / Ram / Hus";"Links"
"3074";"SPEGEL YTTRE KÅPA/RAM/HUS HÖ";"Backspegel Kåpa / Ram / Hus";"Recht"
"3085";"RAM";"Rahmen";""
"3090";"KAROSS";"Karosserie";""
"3095";"FOTSTEG";"Fußstieg";""
"3096";"GASFJÄDER ÖVRIGT";"Gasfjäder Övrigt";""
"3097";"GASFJÄDER FLAKLOCK / FLAKKÅPA";"Gasfjäder Flaklock/Flakkåpa";""
"3098";"LASTBÅGE/LASTGALLER FLAK";"Lastbåge/Lastgaller flak";""
